,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in,Car_Make
8584, Citroen Grand C4 Picasso 1.6 BlueHDi Feel (s/s) 5dr     ,12995,2016,MPV,24000,1.6L,120PS,Manual,Diesel,Citroen
8585, Mercedes-Benz E Class E350D Amg Line Edition 2Dr 9G-Tronic 3.0     ,20475,2016,Convertible,19484,3.0L,254BHP,Automatic,Diesel,Mercedes-Benz
8586, Mercedes-Benz C Class C300H Amg Line Premium 4Dr Auto 2.2     ,20495,2017,Saloon,31388,2.1L,231PS,Automatic,Hybrid,Mercedes-Benz
8587, Mercedes-Benz Slc 250D Amg Line 2Dr 9G-Tronic 2.2     ,20598,2017,Convertible,19331,2.1L,204PS,Automatic,Diesel,Mercedes-Benz
8588, Volkswagen Amarok 2.0BiTDi 180 Highline BMT 4MOTION     ,20639,2015,Pickup,29062,2.0L,178BHP,Automatic,Diesel,Volkswagen
8589, Mercedes-Benz A Class A180D Amg Line Executive 5Dr 1.3     ,20949,2019,Hatchback,4650,1.3L,136PS,Manual,Petrol,Mercedes-Benz
8590, Mercedes-Benz A Class A250 Amg Premium 5Dr Auto 2.0     ,20999,2017,Hatchback,14000,2.0L,218PS,Automatic,Petrol,Mercedes-Benz
8591, Mercedes-Benz C Class C200 Amg Line 5Dr 9G-Tronic 1.5     ,21399,2019,Estate,5292,1.5L,198PS,Automatic,Petrol,Mercedes-Benz
8592, Ford Ranger 3.2 TDCi Wildtrak Double Cab Pickup Auto 4WD 4dr     ,21474,2016,Pickup,19357,3.2L,200PS,Automatic,Diesel,Ford
8593, Mercedes-Benz A Class A200D Amg Line 5Dr Auto 2.0     ,21498,2019,Hatchback,9910,2.0L,150PS,Automatic,Diesel,Mercedes-Benz
8594, Ford Tourneo Custom 9 SEATS LIMITED L2 130PS 2.0     ,21594,2018,Minibus,28452,2.0L,130PS,Manual,Diesel,Ford
8595, SKODA Fabia SE L TSI 5-Door 1.0 5dr     ,8995,2017,Hatchback,21000,1.0L,95PS,Manual,Petrol,SKODA
8596, Volkswagen Golf GT TDI BLUEMOTION TECHNOLOGY DSG 5-Door 2.0 5dr     ,9495,2014,Hatchback,77000,2.0L,148BHP,Automatic,Diesel,Volkswagen
8597, Volkswagen Scirocco TDi Bluemotion Technology Dsg 2.0 3dr     ,9995,2014,Coupe,44000,2.0L,138BHP,Automatic,Diesel,Volkswagen
8598, Land Rover Freelander SD4 HSE 5-Door 2.2 5dr     ,10495,2012,SUV,78000,2.2L,190BHP,Automatic,Diesel,Land
8599, Mazda CX-5 D SE-L NAV 5-Door 2.2 5dr     ,10995,2015,SUV,38000,2.2L,148BHP,Manual,Diesel,Mazda
8601, BMW X5 3.0 30d SE 5dr     ,7491,2007,SUV,61620,3.0L,235BHP,Automatic,Diesel,BMW
8602, Vauxhall Astra 1.6 16v Elite Auto 5dr     ,3250,2010,Hatchback,79700,1.6L,115PS,Automatic,Petrol,Vauxhall
8603, Ford Fiesta 1.4 Flame Limited Edition 3dr     ,750,2004,Hatchback,109000,1.4L,79BHP,Manual,Petrol,Ford
8604, Ford Fiesta 1.4 Flame Limited Edition 3dr     ,800,2004,Hatchback,109000,1.4L,79BHP,Manual,Petrol,Ford
8605, Mercedes-Benz SL SL500 5.0 2dr     ,7991,2004,Convertible,90525,5.0L,306BHP,Automatic,Petrol,Mercedes-Benz
8606, Volkswagen Polo Match Tsi 1.2 5dr     ,7991,2016,Hatchback,39356,1.2L,89BHP,Manual,Petrol,Volkswagen
8608, Volkswagen Tiguan Match Tdi 4Motion 2.0 5dr     ,8491,2011,SUV,43058,2.0L,138BHP,Manual,Diesel,Volkswagen
8609, Audi Q7 Tdi Quattro S Line 4.1 5dr     ,8991,2007,SUV,105000,4.2L,321BHP,Automatic,Diesel,Audi
8610, Ford Mondeo Zetec Econetic Tdci 2.0 5dr     ,8991,2015,Hatchback,55638,2.0L,150PS,Manual,Diesel,Ford
8611, Ford Mondeo Zetec Econetic Tdci 2.0 5dr     ,8991,2016,Hatchback,62431,2.0L,150PS,Manual,Diesel,Ford
8612, Volkswagen Polo Match 1.0 5dr     ,8991,2017,Hatchback,26527,1.0L,59BHP,Manual,Petrol,Volkswagen
8613, Volkswagen Jetta Se Tdi Bluemotion Technology 2.0 4dr     ,8991,2016,Saloon,32860,2.0L,108BHP,Manual,Diesel,Volkswagen
8614, Hyundai Tucson Gdi Se Blue Drive 1.6 5dr     ,9191,2015,SUV,64404,1.6L,132PS,Manual,Petrol,Hyundai
8635, Renault Captur 1.5 dCi 90 Dynamique S Nav 5dr     ,8300,2015,SUV,28841,1.5L,90BHP,Manual,Diesel,Renault
8636, Renault Captur 1.5 dCi 90 Dynamique Nav 5dr     ,8500,2017,SUV,39948,1.5L,90BHP,Manual,Diesel,Renault
8637, Renault Captur 1.5 dCi 90 Dynamique Nav 5dr     ,8500,2017,SUV,36482,1.5L,90BHP,Manual,Diesel,Renault
8638, Renault Clio 0.9 TCE 90 Dynamique Nav 5dr     ,8700,2017,Hatchback,10558,0.9L,90PS,Manual,Petrol,Renault
8639, Renault Captur 1.5 dCi 90 Dynamique Nav 5dr     ,8700,2017,SUV,32475,1.5L,90BHP,Manual,Diesel,Renault
8640, Renault Megane 1.5 dCi Dynamique Nav 5dr     ,8700,2016,Hatchback,15746,1.5L,110BHP,Manual,Diesel,Renault
8641, Vauxhall Mokka 1.6 CDTi ecoFLEX SE 5dr     ,8700,2016,Hatchback,41791,1.6L,134BHP,Manual,Diesel,Vauxhall
8643, Renault Captur 0.9 TCE 90 Dynamique Nav 5dr     ,9000,2017,SUV,25251,0.9L,90BHP,Manual,Petrol,Renault
8644, Fiat 500x 1.4 Multiair Cross 5dr     ,9000,2016,SUV,24575,1.4L,140PS,Manual,Petrol,Fiat
8645, Mazda CX-3 2.0 SKYACTIV-G SE-L Nav+ Auto (s/s) 5dr     ,16395,2019,SUV,9000,2.0L,121PS,Automatic,Petrol,Mazda
8646, Mazda CX-3 2.0 SKYACTIV-G GT Sport Auto (s/s) 5dr     ,16695,2018,SUV,24200,2.0L,121PS,Automatic,Petrol,Mazda
8647, Mazda CX-3 2.0 SKYACTIV-G GT Sport (s/s) 5dr     ,16995,2018,SUV,7800,2.0L,121PS,Manual,Petrol,Mazda
